
2,470,699700,ns
3,470,1077800,ns
4,470,665900,ns
0,480,666000,ns
1,480,681100,ns
2,480,671400,ns
3,480,639100,ns
4,480,671000,ns
0,490,668400,ns
1,490,660700,ns
2,490,675000,ns
3,490,1127600,ns
4,490,670700,ns
0,500,684200,ns
1,500,643800,ns
2,500,1254400,ns
3,500,701700,ns
4,500,946600,ns
0,510,695100,ns
1,510,683300,ns
2,510,690000,ns
3,510,686300,ns
4,510,692400,ns
0,520,706800,ns
1,520,670000,ns
2,520,681900,ns
3,520,807800,ns
4,520,714100,ns
0,530,685200,ns
1,530,684100,ns
2,530,1291900,ns
3,530,686000,ns
4,530,702300,ns
0,540,769900,ns
1,540,715700,ns
2,540,847900,ns
3,540,761500,ns
4,540,759500,ns
0,550,723100,ns
1,550,721700,ns
2,550,719500,ns
3,550,724500,ns
4,550,695200,ns
0,560,735900,ns
1,560,719800,ns
2,560,696000,ns
3,560,803700,ns
4,560,692900,ns
0,570,688500,ns
1,570,703300,ns
2,570,721500,ns
3,570,725200,ns
4,570,1124400,ns
0,580,1303300,ns
1,580,1148600,ns
2,580,1143200,ns
3,580,1267000,ns
4,580,1153300,ns
0,590,737300,ns
1,590,1249200,ns
2,590,1320700,ns
3,590,1339200,ns
4,590,1211100,ns
0,600,768800,ns
1,600,1298400,ns
2,600,752600,ns
3,600,727400,ns
4,600,774200,ns
0,610,736900,ns
1,610,809000,ns
2,610,739000,ns
3,610,1147200,ns
4,610,765700,ns
0,620,746200,ns
1,620,752900,ns
2,620,725500,ns
3,620,1316800,ns
4,620,747800,ns
0,630,773200,ns
1,630,770200,ns
2,630,1294800,ns
3,630,1097600,ns
4,630,746300,ns
0,640,743200,ns
1,640,743100,ns
2,640,872000,ns
3,640,915800,ns
4,640,1235600,ns
0,650,830700,ns
1,650,921100,ns
2,650,1101600,ns
3,650,808700,ns
4,650,739500,ns
0,660,921300,ns
1,660,1262900,ns
2,660,1164300,ns
3,660,952200,ns
4,660,831000,ns
0,670,815600,ns
1,670,826400,ns
2,670,756600,ns
3,670,1265000,ns
4,670,808000,ns
0,680,809800,ns
1,680,797600,ns
2,680,699300,ns
3,680,705600,ns
4,680,778000,ns
0,690,812400,ns
1,690,745500,ns
2,690,751400,ns
3,690,744600,ns
4,690,747000,ns
0,700,902800,ns
1,700,1395900,ns
2,700,1023100,ns
3,700,738500,ns
4,700,754700,ns
0,710,723600,ns
1,710,812000,ns
2,710,725500,ns
3,710,748000,ns
4,710,774900,ns
0,720,711700,ns
1,720,751000,ns
2,720,752700,ns
3,720,775200,ns
4,720,829100,ns
0,730,755500,ns
1,730,810600,ns
2,730,751800,ns
3,730,768400,ns
4,730,867500,ns
0,740,757900,ns
1,740,801800,ns
2,740,834600,ns
3,740,739000,ns
4,740,741700,ns
0,750,771000,ns
1,750,822900,ns
2,750,748000,ns
3,750,773800,ns
4,750,789400,ns
0,760,803300,ns
1,760,755100,ns
2,760,839400,ns
3,760,778300,ns
4,760,811200,ns
0,770,777000,ns
1,770,772800,ns
2,770,801900,ns
3,770,765000,ns
4,770,774000,ns
0,780,781700,ns
1,780,1490100,ns
2,780,765200,ns
3,780,766000,ns
4,780,794700,ns
0,790,774700,ns
1,790,780900,ns
2,790,788000,ns
3,790,769100,ns
4,790,817500,ns
0,800,821000,ns
1,800,832600,ns
2,800,865800,ns
3,800,779500,ns
4,800,885100,ns
0,810,779700,ns
1,810,802700,ns
2,810,783200,ns
3,810,805700,ns
4,810,833400,ns
0,820,790400,ns
1,820,826700,ns
2,820,783100,ns
3,820,815300,ns
4,820,805700,ns
0,830,801100,ns
1,830,855500,ns
2,830,816300,ns
3,830,810600,ns
4,830,891000,ns
0,840,803800,ns
1,840,870800,ns
2,840,819900,ns
3,840,820600,ns
4,840,841600,ns
0,850,822800,ns
1,850,817000,ns
2,850,816600,ns
3,850,812300,ns
4,850,829000,ns
0,860,816600,ns
1,860,825900,ns
2,860,852800,ns
3,860,811300,ns
4,860,965000,ns
0,870,866400,ns
1,870,815300,ns
2,870,851400,ns
3,870,809400,ns
4,870,802400,ns
0,880,833300,ns
1,880,848500,ns
2,880,838000,ns
3,880,842700,ns
4,880,836900,ns
0,890,814100,ns
1,890,892700,ns
2,890,887600,ns
3,890,821200,ns
4,890,865000,ns
0,900,855200,ns
1,900,1059600,ns
2,900,865900,ns
3,900,812900,ns
4,900,865100,ns
0,910,875500,ns
1,910,848900,ns
2,910,855600,ns
3,910,872900,ns
4,910,858100,ns
0,920,807700,ns
1,920,865900,ns
2,920,856800,ns
3,920,838700,ns
4,920,824600,ns
0,930,852000,ns
1,930,831500,ns
2,930,876800,ns
3,930,883900,ns
4,930,908900,ns
0,940,858500,ns
1,940,873500,ns
2,940,859100,ns
3,940,842300,ns
4,940,895700,ns
0,950,860700,ns
1,950,854800,ns
2,950,1067000,ns
3,950,916400,ns
4,950,995400,ns
0,960,1045600,ns
1,960,876900,ns
2,960,893300,ns
3,960,859600,ns
4,960,859900,ns
0,970,853000,ns
1,970,995100,ns
2,970,869700,ns
3,970,915600,ns
4,970,953400,ns
0,980,844500,ns
1,980,866200,ns
2,980,915800,ns
3,980,890700,ns
4,980,850200,ns
0,990,968900,ns
1,990,893300,ns
2,990,898500,ns
3,990,900700,ns
4,990,850600,ns
0,1000,868400,ns
1,1000,926900,ns
2,1000,1416900,ns
3,1000,911200,ns
4,1000,1576000,ns
